artist_familiarity;artist_hotttnesss;artist_id;idx_artist_mbtags;artist_name;loudness;song_id;tempo;song_hotttnesss;time_signature;title;key
b'0.7804617487770407';b'0.5742747305168561';b'ARMQHX71187B9890D3';b'0';b'Mastodon';b'-3.306';b'SOVLGJY12A8C13FBED';b'173.205';b'0.5976407977147769';b'5';b'Deep Sea Creature';b'5'
b'0.5615899458566065';b'0.4205703072083738';b'AR2PT4M1187FB55B1A';b'0';b'Los Chichos';b'-10.764';b'SOGDQZK12A8C13F37C';b'150.955';b'nan';b'4';b'No Quieras Marcharte';b'0'
b'0.6876874858721554';b'0.4066860994666606';b'ARDI88R1187B98DAB2';b'0';b'Foxy Brown';b'-9.035';b'SODMVJR12A6D4F985D';b'93.056';b'0.5889221675559065';b'4';b'If I...';b'1'
b'0.39174139414810444';b'0.2912648117531004';b'ARUKJUP12086C14589';b'0';"b'Ram\xc3\xb3n Vargas;Vladimir Jurowski'";b'-23.095';b'SOIWBDR12A8C13A4AC';b'127.113';b'nan';b'1';"b""Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?""";b'7'
b'0.5934160487797832';b'0.39570954770762196';b'ARZEWUR1187FB53DC8';b'0';b'Enthroned';b'-20.359';b'SOHCCIA12AC907577F';b'90.66';b'nan';b'3';b'Ad Te Clamamus Exsvles Mortva Liberi';b'2'
b'0.8159234203436856';b'0.5551383219226409';b'ARUZRFN1187B98AC05';b'0';b'Bone Thugs-N-Harmony';b'-5.724';b'SOBOAQC12A8C13E3E9';b'101.167';b'0.47405483093120077';b'1';b'Murder One';b'9'
b'0.5439365518845259';b'0.4303002791079415';b'ARHBWOZ1187FB3FD53';b'0';b'Utopia';b'-10.653';b'SOKVLHX12AB0187B39';b'173.841';b'nan';b'3';b'On My Feet Again';b'2'
b'0.9290302874411605';b'0.7504265510189179';b'ARR3ONV1187B9A2F59';b'0';b'Muse';b'-20.816';b'SOMMSMW12A8C13FCCC';b'127.547';b'0.6528356953891383';b'1';b'Bedroom Acoustics';b'4'
b'0.6451923387467661';b'0.47122432991900803';b'AR3THYK1187B999F1F';b'0';b'Jo\xc3\xa3o Gilberto';b'-29.75';b'SODPNJR12A6D4FA52D';b'127.782';b'0.6316008180888096';b'4';b'Segredo';b'4'
b'0.495819328959285';b'0.34276521913001623';b'ARFELOH1187B991F95';b'0';b'Niraj Chag';b'-5.644';b'SOFFLLP12AB018ED52';b'90.013';b'nan';b'5';b'Sajana (Ft Faheem Mazhar)';b'9'
