,track id,song id,artist,song,paths
0,TRAAAAW128F429D538,SOMZWCG12A8C13C480,Casual,I Didn't Mean To,data/A/A/A/TRAAAAW128F429D538.h5
1,TRAAABD128F429CF47,SOCIWDW12A8C13D406,The Box Tops,Soul Deep,data/A/A/A/TRAAABD128F429CF47.h5
2,TRAAADZ128F9348C2E,SOXVLOJ12AB0189215,Sonora Santanera,Amor De Cabaret,data/A/A/A/TRAAADZ128F9348C2E.h5
3,TRAAAEF128F4273421,SONHOTT12A8C13493C,Adam Ant,Something Girls,data/A/A/A/TRAAAEF128F4273421.h5
4,TRAAAFD128F92F423A,SOFSOCN12A8C143F5D,Gob,Face the Ashes,data/A/A/A/TRAAAFD128F92F423A.h5
5,TRAAAMO128F1481E7F,SOYMRWW12A6D4FAB14,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),data/A/A/A/TRAAAMO128F1481E7F.h5
6,TRAAAMQ128F1460CD3,SOMJBYD12A6D4F8557,Rated R,Keepin It Real (Skit),data/A/A/A/TRAAAMQ128F1460CD3.h5
7,TRAAAPK128E0786D96,SOHKNRJ12A6701D1F8,Tweeterfriendly Music,Drop of Rain,data/A/A/A/TRAAAPK128E0786D96.h5
8,TRAAARJ128F9320760,SOIAZJW12AB01853F1,Planet P Project,Pink World,data/A/A/A/TRAAARJ128F9320760.h5
9,TRAAAVG12903CFA543,SOUDSGM12AC9618304,Clp,Insatiable (Instrumental Version),data/A/A/A/TRAAAVG12903CFA543.h5
10,TRAAAVO128F93133D4,SOQHXMF12AB0182363,JennyAnyKind,Young Boy Blues,data/A/A/A/TRAAAVO128F93133D4.h5
11,TRAABCL128F4286650,SOKEJEJ12A8C13E0D0,Wayne Watson,The Urgency (LP Version),data/A/A/B/TRAABCL128F4286650.h5
12,TRAABDL12903CAABBA,SOMUYGI12AB0188633,Andy Andy,La Culpa,data/A/A/B/TRAABDL12903CAABBA.h5
13,TRAABJL12903CDCF1A,SORAMLE12AB017C8B0,Bob Azzam,Auguri Cha Cha,data/A/A/B/TRAABJL12903CDCF1A.h5
14,TRAABJV128F1460C49,SOBONFF12A6D4F84D8,Lionel Richie,Tonight Will Be Alright,data/A/A/B/TRAABJV128F1460C49.h5
15,TRAABLR128F423B7E3,SOHUOAP12A8AE488E9,Blue Rodeo,Floating,data/A/A/B/TRAABLR128F423B7E3.h5
16,TRAABNV128F425CEE1,SOUQQEA12A8C134B1B,Richard Souther,High Tide,data/A/A/B/TRAABNV128F425CEE1.h5
17,TRAABRB128F9306DD5,SOILPQQ12AB017E82A,Faiz Ali Faiz,Sohna Nee Sohna Data,data/A/A/B/TRAABRB128F9306DD5.h5
18,TRAABVM128F92CA9DC,SOXLBJT12A8C140925,Tesla,Caught In A Dream,data/A/A/B/TRAABVM128F92CA9DC.h5
19,TRAABXG128F9318EBD,SOZVMJI12AB01808AF,lextrical,Synthetic Dream,data/A/A/B/TRAABXG128F9318EBD.h5
20,TRAABYN12903CFD305,SOWTBJW12AC468AC6E,Jimmy Wakely,Broken-Down Merry-Go-Round,data/A/A/B/TRAABYN12903CFD305.h5
21,TRAABYW128F4244559,SOBEBDG12A58A76D60,Alice Stuart,Kassie Jones,data/A/A/B/TRAABYW128F4244559.h5
22,TRAACCG128F92E8A55,SOZCTXZ12AB0182364,Elena,Setanta matins,data/A/A/C/TRAACCG128F92E8A55.h5
23,TRAACER128F4290F96,SOBBUGU12A8C13E95D,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,data/A/A/C/TRAACER128F4290F96.h5
24,TRAACFV128F935E50B,SOBLGCN12AB0183212,SUE THOMPSON,James (Hold The Ladder Steady),data/A/A/C/TRAACFV128F935E50B.h5
25,TRAACHN128F1489601,SOPSWQW12A6D4F8781,Five Bolt Main,Made Like This (Live),data/A/A/C/TRAACHN128F1489601.h5
26,TRAACIW12903CC0F6D,SOZQDIU12A58A7BCF6,Clp,Superconfidential,data/A/A/C/TRAACIW12903CC0F6D.h5
27,TRAACLV128F427E123,SONYPOM12A8C13B2D7,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),data/A/A/C/TRAACLV128F427E123.h5
28,TRAACNS128F14A2DF5,SOBZBAZ12A6D4F8742,Willie Bobo,Spanish Grease,data/A/A/C/TRAACNS128F14A2DF5.h5
29,TRAACOW128F933E35F,SOVYKGO12AB0187199,Faye Adams,Crazy Mixed Up World,data/A/A/C/TRAACOW128F933E35F.h5
30,TRAACPE128F421C1B9,SOGNCJP12A58A80271,Terry Callier,Do You Finally Need A Friend,data/A/A/C/TRAACPE128F421C1B9.h5
31,TRAACQT128F9331780,SOLLHMX12AB01846DC,John Wesley,The Emperor Falls,data/A/A/C/TRAACQT128F9331780.h5
32,TRAACSL128F93462F4,SOYTPEP12AB0180E7B,The Shangri-Las,Twist and Shout,data/A/A/C/TRAACSL128F93462F4.h5
33,TRAACTB12903CAAF15,SOGXHEG12AB018653E,Billie Jo Spears,It Makes No Difference Now,data/A/A/C/TRAACTB12903CAAF15.h5
34,TRAACVS128E078BE39,SOOLYAZ12A6701F4A6,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),data/A/A/C/TRAACVS128E078BE39.h5
35,TRAACZK128F4243829,SOGOSOV12AF72A285E,Sierra Maestra,¿Dónde va Chichi?,data/A/A/C/TRAACZK128F4243829.h5
36,TRAADDS128F425C68B,SOJXVAH12A8C139700,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",data/A/A/D/TRAADDS128F425C68B.h5
37,TRAADED128F42741FD,SOVXMTN12A8C135A18,Despina Vandi,OUTE ENA EFHARISTO,data/A/A/D/TRAADED128F42741FD.h5
38,TRAADEV128F9348C0A,SORSECL12AB0182267,Javier Navarrete,Midnight Swim,data/A/A/D/TRAADEV128F9348C0A.h5
39,TRAADHS12903CE70A9,SOOGFBZ12AC3DF7FF2,Jacob Young,In A Subtle Way,data/A/A/D/TRAADHS12903CE70A9.h5
40,TRAADIV12903CB15C1,SOMSBGZ12AB018C4CB,Scarlet's Remains,Spin,data/A/A/D/TRAADIV12903CB15C1.h5
41,TRAADLH12903CA70EE,SONYRZV12AB018AF70,The Suicide Machines,Burning In The Aftermath,data/A/A/D/TRAADLH12903CA70EE.h5
42,TRAADLN128F14832E9,SONQBUB12A6D4F8ED0,The Rolling Stones,Angie (1993 Digital Remaster),data/A/A/D/TRAADLN128F14832E9.h5
43,TRAADLR12903CF8D7E,SOHGKJW12AC468A8BD,Roberto Torres,Sabor Guajiro,data/A/A/D/TRAADLR12903CF8D7E.h5
44,TRAADLX128F1469250,SOINBCU12A6D4F94C0,Loudon Wainwright III,Human Cannonball,data/A/A/D/TRAADLX128F1469250.h5
45,TRAADMH128F9343E59,SOTWVQT12A58A79650,R.L. Burnside,Glory Be,data/A/A/D/TRAADMH128F9343E59.h5
46,TRAADNA128F9331246,SOTSEJY12AB0180F56,Stevie Ray Vaughan,Crossfire,data/A/A/D/TRAADNA128F9331246.h5
47,TRAADOF12903CAA1C1,SOTSETT12AB01863B8,John Hammond,I Can't Be Satisfied,data/A/A/D/TRAADOF12903CAA1C1.h5
48,TRAADQX128F422B4CF,SOTUNMH12A6D4FA3E6,Casiotone For The Painfully Alone,Nashville Parthenon,data/A/A/D/TRAADQX128F422B4CF.h5
49,TRAADRN128F932D607,SOEPPKB12AB018418B,Ec8or,Cocain Ducks,data/A/A/D/TRAADRN128F932D607.h5
50,TRAADVH128EF34DE7A,SOGKIWV12A6D4F86C4,The New York Dolls,Human Being,data/A/A/D/TRAADVH128EF34DE7A.h5
51,TRAADYB128F92D7E73,SOPHYIS12AAF3B35A3,Eliane Elias,The More I See You,data/A/A/D/TRAADYB128F92D7E73.h5
52,TRAADYI128E078FB38,SOFHBAR12A6701D0FE,Lost Boyz,Certain Things We Do,data/A/A/D/TRAADYI128E078FB38.h5
53,TRAAEAM128F934B199,SOCPRKM12AB018A2FD,The Germs,Forming,data/A/A/E/TRAAEAM128F934B199.h5
54,TRAAEDJ12903CCE390,SOFGHAM12AB0186412,Yamandu Costa,Mafuá,data/A/A/E/TRAAEDJ12903CCE390.h5
55,TRAAEEH128E0795DFE,SODHVES12A6701CE6B,Chris Rea,Driving Home For Christmas,data/A/A/E/TRAAEEH128E0795DFE.h5
56,TRAAELO128F9302DD1,SOXIATP12AAF3B2184,Perrey And Kingsley,Spooks In Space,data/A/A/E/TRAAELO128F9302DD1.h5
57,TRAAEMJ128F425A917,SOGNQWU12A8AE4868F,Eurythmics,Tous Les Garçons Et Les Filles,data/A/A/E/TRAAEMJ128F425A917.h5
58,TRAAENC128F1451DE9,SOYQOFI12A6D4F76E1,Francis Dunnery,Too Much Saturn,data/A/A/E/TRAAENC128F1451DE9.h5
59,TRAAENP128F147BF32,SOVOLGY12A6D4F822B,John Cale,Movement 4 [from Kiss] (Album Version),data/A/A/E/TRAAENP128F147BF32.h5
60,TRAAEOU128F9309DE0,SOMZCVH12AB0182B8E,Suzanne Ciani,Stream,data/A/A/E/TRAAEOU128F9309DE0.h5
61,TRAAERU128F930674F,SONXJBL12AAF3B2C0C,Vickie Winans,Make Me Over,data/A/A/E/TRAAERU128F930674F.h5
62,TRAAEUB12903CDD3EA,SOYWZTU12AB0180E26,The Berzerker,Deform (live),data/A/A/E/TRAAEUB12903CDD3EA.h5
63,TRAAEWG128F930B3A4,SOLGHDZ12AB0183B11,Kings Of Leon,Wicker Chair,data/A/A/E/TRAAEWG128F930B3A4.h5
64,TRAAEXM128F92D47C8,SOTNTNJ12AAA15FBD6,Edith Lefel,An ti chans',data/A/A/E/TRAAEXM128F92D47C8.h5
65,TRAAFEB128F92F8694,SOXZXXV12AAF3B3A67,Taras,I Will Love Again (JJ's Club Radio),data/A/A/F/TRAAFEB128F92F8694.h5
66,TRAAFJW128F428A424,SOPIKEG12A58291636,NOFX,Stickin In My Eye,data/A/A/F/TRAAFJW128F428A424.h5
67,TRAAFKJ12903D02552,SOIRNBO12AC468D207,Murskahumppa,Ota kiinni,data/A/A/F/TRAAFKJ12903D02552.h5
